Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  2.050000000000000e+00, -1.924134019493008e-01, -1.884717257473161e+00,  3.539902175187845e-01,  2.452339576032854e-01,  7.243671003086404e-01,  2.036427369741471e-01, -3.218648768384770e-01,  3.622907881631079e-01, -1.262754075008431e-01,  1.037276690862562e+00,  8.441639010832296e-01, -1.440191065497747e-01,  3.606904265631884e-02
  2.060000000000000e+00, -1.942011482354062e-01, -1.883851096435625e+00,  3.570152613920264e-01,  2.465875964613910e-01,  7.242336440583602e-01,  2.036305804115484e-01, -3.210504781636007e-01,  3.588510885951351e-01, -1.245857999639208e-01,  1.050511444937283e+00,  8.429680172775224e-01, -1.391530685628701e-01,  3.646251612515994e-02
  2.070000000000000e+00, -1.960409482176280e-01, -1.882792076832685e+00,  3.601558039738584e-01,  2.479801478303912e-01,  7.241087724947814e-01,  2.036111249272641e-01, -3.205466156260610e-01,  3.555032729032044e-01, -1.235798830619730e-01,  1.062703466794552e+00,  8.419676213554409e-01, -1.341419407478823e-01,  3.683332332107029e-02
  2.080000000000000e+00, -1.979491128019225e-01, -1.881576658052645e+00,  3.634398220235626e-01,  2.494301589535557e-01,  7.239888210901915e-01,  2.035852556070770e-01, -3.204444906759230e-01,  3.522355506463137e-01, -1.232917027414029e-01,  1.073737125030729e+00,  8.412892228178046e-01, -1.290673105895961e-01,  3.718954628462991e-02
  2.090000000000000e+00, -1.998869364136079e-01, -1.880269692527755e+00,  3.668005553952883e-01,  2.509136004123079e-01,  7.238740220955830e-01,  2.035544039520210e-01, -3.207666114384695e-01,  3.490314330104874e-01, -1.237005316131560e-01,  1.083499056466996e+00,  8.409997706603343e-01, -1.240357766439022e-01,  3.754163539990384e-02
  2.100000000000000e+00, -2.017466210873687e-01, -1.878960970176376e+00,  3.700498310510197e-01,  2.523492489733032e-01,  7.237696466063969e-01,  2.035208357954366e-01, -3.214434107650864e-01,  3.458732733371991e-01, -1.247105908695798e-01,  1.091877045043285e+00,  8.411169490831913e-01, -1.191788656618953e-01,  3.789959429634468e-02
  2.110000000000000e+00, -2.033600700437407e-01, -1.877761795082875e+00,  3.728899985773643e-01,  2.536028744737513e-01,  7.236848676189782e-01,  2.034880083609305e-01, -3.223203334935815e-01,  3.427449452194558e-01, -1.261564697008441e-01,  1.098761832009296e+00,  8.416195742903576e-01, -1.146427424715091e-01,  3.826858483003489e-02
  2.120000000000000e+00, -2.045317122489687e-01, -1.876789498284331e+00,  3.749699994402151e-01,  2.545125404297479e-01,  7.236303535526707e-01,  2.034602915151583e-01, -3.232000597405895e-01,  3.396372363126274e-01, -1.278380228876630e-01,  1.104050270487648e+00,  8.424631159702176e-01, -1.105690825094463e-01,  3.864756923740217e-02
  2.130000000000000e+00, -2.050813154990145e-01, -1.876148220226954e+00,  3.759629783909313e-01,  2.549256952767455e-01,  7.236157465080097e-01,  2.034420143471726e-01, -3.239016669935122e-01,  3.365522418440891e-01, -1.295716734243379e-01,  1.107647887170859e+00,  8.435974694691593e-01, -1.070801224036124e-01,  3.903104722162420e-02
  2.140000000000000e+00, -2.048780822575635e-01, -1.875914284109885e+00,  3.756317623454304e-01,  2.547320601799354e-01,  7.236481640659641e-01,  2.034362220026406e-01, -3.243089874023780e-01,  3.335053169491501e-01, -1.312352198083163e-01,  1.109470599569539e+00,  8.449827744722506e-01, -1.042744413665593e-01,  3.941138883999707e-02
