Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  2.250000000000000e+00, -3.889375542961184e-01,  5.440974543582167e-02, -1.000241627285916e-01,  4.371330831924811e-01, -5.649059441118000e-02, -3.967937524404703e-02
  2.260000000000000e+00, -3.733054166484425e-01,  6.292457673413998e-02, -1.068070972139061e-01,  4.807457213655360e-01, -1.602811797996966e-02, -5.948826677004544e-02
  2.270000000000000e+00, -3.548098317895491e-01,  7.021719545215421e-02, -1.134615053004881e-01,  5.279952773110378e-01,  2.675486060114275e-02, -7.922395169035219e-02
  2.280000000000000e+00, -3.335024570305318e-01,  7.643691572916311e-02, -1.196829733223718e-01,  5.784720374226187e-01,  7.041170877815912e-02, -9.821361463269457e-02
  2.290000000000000e+00, -3.095971499029446e-01,  8.176774152388711e-02, -1.252274481336829e-01,  6.315920717468336e-01,  1.131448374533372e-01, -1.155191314069791e-01
  2.300000000000000e+00, -2.834342755740559e-01,  8.637264344569862e-02, -1.299274835660685e-01,  6.866511582741670e-01,  1.529640599841137e-01, -1.300896189494774e-01
  2.310000000000000e+00, -2.554209586293779e-01,  9.035307712206220e-02, -1.336977159604913e-01,  7.428804403243626e-01,  1.878977357730343e-01, -1.409465855512653e-01
  2.320000000000000e+00, -2.259761026583136e-01,  9.373302463483069e-02, -1.365269299203419e-01,  7.994889288221670e-01,  2.162069987731975e-01, -1.473443186425587e-01
  2.330000000000000e+00, -1.954975401511347e-01,  9.646712681634817e-02, -1.384538274273427e-01,  8.556898642709062e-01,  2.365853875379012e-01, -1.488707324728910e-01
  2.340000000000000e+00, -1.643497030307077e-01,  9.846809193556516e-02, -1.395338557905019e-01,  9.107149782435784e-01,  2.483335412106193e-01, -1.454794320634257e-01
  2.350000000000000e+00, -1.328596780851777e-01,  9.964597104904205e-02, -1.398122031922497e-01,  9.638244248916781e-01,  2.514632312967613e-01, -1.374651427243624e-01
  2.360000000000000e+00, -1.013127018794536e-01,  9.994581404096614e-02, -1.393145751826006e-01,  1.014320004433122e+00,  2.466740894402595e-01, -1.254112435481998e-01
  2.370000000000000e+00, -6.994702780353559e-02,  9.936983694855717e-02, -1.380548532312513e-01,  1.061564460829016e+00,  2.351938410944597e-01, -1.101330191886394e-01
  2.380000000000000e+00, -3.895133799986801e-02,  9.798027215244565e-02, -1.360482700727472e-01,  1.105004347948966e+00,  2.185353237975103e-01, -9.261572322957565e-02
  2.390000000000000e+00, -8.467718261683767e-03,  9.588824546589381e-02, -1.333204523058692e-01,  1.144189441919241e+00,  1.982522247305875e-01, -7.393489134758661e-02
  2.400000000000000e+00,  2.139715527000685e-02,  9.323523533670519e-02, -1.299111366062012e-01,  1.178780848533471e+00,  1.757580847383875e-01, -5.515753918449199e-02
  2.410000000000000e+00,  5.055663756727340e-02,  9.017146037719925e-02, -1.258739133168976e-01,  1.208546071325817e+00,  1.522299376107775e-01, -3.723791825210594e-02
  2.420000000000000e+00,  7.893282447898174e-02,  8.683622638219912e-02, -1.212709480747319e-01,  1.233346030699808e+00,  1.285819463690716e-01, -2.092594692185203e-02
  2.430000000000000e+00,  1.064510946196420e-01,  8.334665345746739e-02, -1.161636865971021e-01,  1.253120151635617e+00,  1.054812121706448e-01, -6.701106985595395e-03
  2.440000000000000e+00,  1.330377002928517e-01,  7.979666898243720e-02, -1.106047738998728e-01,  1.267872911893143e+00,  8.338096021200447e-02,  5.260006724055685e-03
  2.450000000000000e+00,  1.586195376877517e-01,  7.626109442374207e-02, -1.046347691209960e-01,  1.277661966481267e+00,  6.255725682274914e-02,  1.507911761729530e-02
  2.460000000000000e+00,  1.831249311305904e-01,  7.279840747900224e-02, -9.828381370225428e-02,  1.282586359400968e+00,  4.314812148948990e-02,  2.313959192126380e-02
  2.470000000000000e+00,  2.064831785250466e-01,  6.945045797653804e-02, -9.157720742414546e-02,  1.282774306051026e+00,  2.519809083602224e-02,  3.002397806483155e-02
  2.480000000000000e+00,  2.286234757249758e-01,  6.624216716481990e-02, -8.454151054121378e-02,  1.278371906322003e+00,  8.703469526437328e-03,  3.642820068815437e-02
  2.490000000000000e+00,  2.494767869637554e-01,  6.318384261931165e-02, -7.720748236542332e-02,  1.269534576569704e+00, -6.354775528255074e-03,  4.305873966767594e-02
  2.500000000000000e+00,  2.689837628374004e-01,  6.027528174112318e-02, -6.961012942621786e-02,  1.256421455390140e+00, -1.999719677494090e-02,  5.052967928868344e-02
  2.510000000000000e+00,  2.871056166106102e-01,  5.751068185693109e-02, -6.178828043669788e-02,  1.239191063401612e+00, -3.224444491983042e-02,  5.928159348716798e-02
  2.520000000000000e+00,  3.038290157299580e-01,  5.488451345395906e-02, -5.378494685464733e-02,  1.217996473217940e+00, -4.312020790011541e-02,  6.954004596113646e-02
  2.530000000000000e+00,  3.191645001023864e-01,  5.239767438594911e-02, -4.564935307410233e-02,  1.192980761618608e+00, -5.265485685920345e-02,  8.131814804155563e-02
  2.540000000000000e+00,  3.331461476116076e-01,  5.006319362689360e-02, -3.744032224106433e-02,  1.164275139748917e+00, -6.088812984728883e-02,  9.444695585653565e-02
  2.550000000000000e+00,  3.458306045672808e-01,  4.791062519935196e-02, -2.922709904781134e-02,  1.132000171361488e+00, -6.787357002540287e-02,  1.086112569153720e-01
  2.560000000000000e+00,  3.572881952497490e-01,  4.598736851217922e-02, -2.108402253475979e-02,  1.096268456565648e+00, -7.368728168080818e-02,  1.233882414167911e-01
  2.570000000000000e+00,  3.675877681898264e-01,  4.435620339889423e-02, -1.308082425258915e-02,  1.057188288581553e+00, -7.843792935390954e-02,  1.382983662207125e-01
  2.580000000000000e+00,  3.767821799796591e-01,  4.309030808421066e-02, -5.271779239637057e-03,  1.014869403218555e+00, -8.227183110157604e-02,  1.528613775114838e-01
  2.590000000000000e+00,  3.848986383474360e-01,  4.226795867272348e-02,  2.316519074186276e-03,  9.694312272066503e-01, -8.536627657022132e-02,  1.666385691770547e-01
  2.600000000000000e+00,  3.919325870375531e-01,  4.196827596397723e-02,  9.697653780130589e-03,  9.210122248986994e-01, -8.791071666053527e-02,  1.792495532087507e-01
  2.610000000000000e+00,  3.978410609249321e-01,  4.226750463678841e-02,  1.693354672185158e-02,  8.697794985741374e-01, -9.008361095784607e-02,  1.903626271165663e-01
  2.620000000000000e+00,  4.025367784784837e-01,  4.323503892014147e-02,  2.413768929048584e-02,  8.159402682754374e-01, -9.202817832276065e-02,  1.996703042965819e-01
  2.630000000000000e+00,  4.058913798072569e-01,  4.492907910839383e-02,  3.147566942894818e-02,  7.597582320246707e-01, -9.382528143217747e-02,  2.068690723453752e-01
  2.640000000000000e+00,  4.077541044862770e-01,  4.739166098707104e-02,  3.916094435893398e-02,  7.015786873197924e-01, -9.546893749796082e-02,  2.116532280499694e-01
  2.650000000000000e+00,  4.079831434802173e-01,  5.064272103252399e-02,  4.744382200686686e-02,  6.418659028144567e-01, -9.685859003722645e-02,  2.137192692592318e-01
  2.660000000000000e+00,  4.064843686913985e-01,  5.467197552706371e-02,  5.659363317398219e-02,  5.812515216625861e-01, -9.782049823297671e-02,  2.127795371287326e-01
  2.670000000000000e+00,  4.032549619043092e-01,  5.942568108582491e-02,  6.686895781076220e-02,  5.205839117753519e-01, -9.815862443911683e-02,  2.085964816542394e-01
  2.680000000000000e+00,  3.984255853754491e-01,  6.478689080430677e-02,  7.846677235860181e-02,  4.609581644797703e-01, -9.772149709073137e-02,  2.010529371070610e-01
  2.690000000000000e+00,  3.922866685077085e-01,  7.055439833325150e-02,  9.144538653872220e-02,  4.036998933398204e-01, -9.646234878426278e-02,  1.902658436268547e-01
  2.700000000000000e+00,  3.852815392887286e-01,  7.643380742207850e-02,  1.056277932445184e-01,  3.502811674363721e-01, -9.446881254787079e-02,  1.767331203250267e-01
