Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  2.600000000000000e+00, -2.911716112295997e-01, -1.268914174802083e-01,  9.043249463204497e-02,  1.349720640533702e-01, -1.814615473846434e-01,  3.109681880335347e-01
  2.610000000000000e+00, -3.018280854347565e-01, -1.267674099521450e-01,  8.629725074888853e-02,  1.360913114756766e-01, -1.914228605644173e-01,  3.126369936937816e-01
  2.620000000000000e+00, -3.113979933997705e-01, -1.269764446525476e-01,  8.245817789133930e-02,  1.383297218950080e-01, -2.015958821961063e-01,  3.139837673475811e-01
  2.630000000000000e+00, -3.201199179414340e-01, -1.275073186356435e-01,  7.886942950850807e-02,  1.415569576304456e-01, -2.118829895232800e-01,  3.148475208655264e-01
  2.640000000000000e+00, -3.282895228262719e-01, -1.283242236919591e-01,  7.546245340584730e-02,  1.456193768768770e-01, -2.221680138866371e-01,  3.150628492123794e-01
  2.650000000000000e+00, -3.362297208195042e-01, -1.293708999048335e-01,  7.213953640030038e-02,  1.503575068507654e-01, -2.323151583085299e-01,  3.144695088129171e-01
  2.660000000000000e+00, -3.442623147330708e-01, -1.305700699010344e-01,  6.877219944439622e-02,  1.556219396527015e-01, -2.421693972488016e-01,  3.129267783648919e-01
  2.670000000000000e+00, -3.526684904683428e-01, -1.318263127996044e-01,  6.521705111434997e-02,  1.612926291955545e-01, -2.515635959991755e-01,  3.103105529312544e-01
  2.680000000000000e+00, -3.616534011539606e-01, -1.330176080161594e-01,  6.134444420740313e-02,  1.672931096904499e-01, -2.603265983335398e-01,  3.065102364675860e-01
  2.690000000000000e+00, -3.713061260360397e-01, -1.339865398932050e-01,  5.707866002664411e-02,  1.736057799426380e-01, -2.682941494849520e-01,  3.014137399421553e-01
  2.700000000000000e+00, -3.815690642510280e-01, -1.345339680740036e-01,  5.243374751385992e-02,  1.802839100291362e-01, -2.753180923963146e-01,  2.948948782389528e-01
  2.710000000000000e+00, -3.922333627215410e-01, -1.344264443535346e-01,  4.752639333555842e-02,  1.874530279817914e-01, -2.812675500952697e-01,  2.868153559041399e-01
  2.720000000000000e+00, -4.029749706584738e-01, -1.334220984628316e-01,  4.255398317345959e-02,  1.952939952114693e-01, -2.860171572925643e-01,  2.770483485133457e-01
  2.730000000000000e+00, -4.134232511520371e-01, -1.313062963727198e-01,  3.774484371506120e-02,  2.040109751317486e-01, -2.894258391056758e-01,  2.655143340491234e-01
  2.740000000000000e+00, -4.232330294008023e-01, -1.279202361206644e-01,  3.330377273877117e-02,  2.137983291427127e-01, -2.913164855926643e-01,  2.522083586002668e-01
  2.750000000000000e+00, -4.321325672953525e-01, -1.231716623100956e-01,  2.937577696548936e-02,  2.248206093380943e-01, -2.914656243056227e-01,  2.372030928034234e-01
  2.760000000000000e+00, -4.399382356212270e-01, -1.170306187272505e-01,  2.603490732822732e-02,  2.372110611467912e-01, -2.896046973203208e-01,  2.206290343595411e-01
  2.770000000000000e+00, -4.465442132913909e-01, -1.095203382110415e-01,  2.328707232614671e-02,  2.510839624243186e-01, -2.854274949049671e-01,  2.026513128265334e-01
